title,count,comment_text,vote,reply,date
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"QUE ATENÇÃO LINDA DO HONOR OF KINGS!!! Linda as artes e produção, ansiosa para o lançamento.",0,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Ficou top na moral, para min e o melhor moba de todos os tempos",2,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Que perfeição! Eu me emocionei muito meu deuses
Estou ansiosa demais para o jogo! Que venha logo!! Adoro demais",0,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Cara tô ansioso por honor voltar  gogogogogo,1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Já fiz meu pré registro, só falta o dia de lançamento, vou jogar muito.",1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Lindo demais,2,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Adorei o jogo quando ele ainda tava em testes e adorei que vcs ainda deram a moeda do jogo pra gente pegar skins na maior humildade,mesmo que as skins saião da conta e comece do zero eu vou jogar no maior hype",1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Espero muito que na versão oficial venha com campeões novos que existem na versão chinesa. Principalmente a Haiyue que tem uma ult parecida com do Mordekaiser do LoL. No beta veio uns bem antigos.,2,0,1 year ago (edited)
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Krlh ainda não tinha visto, ficou muito lindo!! Obrigado Hok por ter trazido essa maravilha pra nós.",0,0,8 months ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Ficou muito lindo!,1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"aaaaa que máximo, obrigado <3",1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Muito bem feito, gostei de ter apresentado os grafites nas paredes, não tem nada mais Brasileiro que isso♡
A animação ficou impecável e gostei da personagem também 
Finalmente um vídeo trailer sobre o Brasil que não inclui só Futebol e Samba",1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Ficou perfeito,1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Estou com muita saudade de jogar o game!,1,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Finalmente nunca esperei tanto um jogo como esse
️ só vem",0,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Anúncio top,2,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Manooooooo, eu joguei a beta uns meses atrás mas agora já fiz o pré registro.
Acabei de ver esse vídeo e estou bastante animado hehehe que lindo:3",0,0,1 year ago
